instances,algo_collision,feature_npc1_avg_control_speed,feature_npc1_min_control_speed,feature_npc1_max_control_speed,feature_npc1_std_control_speed,feature_npc2_avg_control_speed,feature_npc2_min_control_speed,feature_npc2_max_control_speed,feature_npc2_std_control_speed,feature_npcs_avg_control_speed,feature_npcs_min_control_speed,feature_npcs_max_control_speed,feature_npcs_std_control_speed,feature_npc_number_lane_changes,feature_npc2_number_lane_changes,feature_ego_avg_speed,feature_ego_min_speed,feature_ego_max_speed,feature_ego_std_speed,feature_npc1_avg_speed,feature_npc1_min_speed,feature_npc1_max_speed,feature_npc1_std_speed,feature_npc2_avg_speed,feature_npc2_min_speed,feature_npc2_max_speed,feature_npc2_std_speed,feature_avg_dist_ego_npc1,feature_min_dist_ego_npc1,feature_max_dist_ego_npc1,feature_std_dist_ego_npc1,feature_avg_dist_ego_npc2,feature_min_dist_ego_npc2,feature_max_dist_ego_npc2,feature_std_dist_ego_npc2,feature_npc_avg_dist,feature_max_npc_dist,feature_min_npc_dist,feature_std_npc_dist,feature_type_npc_max_dist,feature_type_npc_min_dist,feature_op_npc_max_dist,feature_op_npc_min_dist,feature_ctrl_speed_npc_max_dist,feature_ctrl_speed_npc_min_dist,feature_speed_npc_min_dist,feature_speed_npc_max_dist,feature_avg_speed_npcs,feature_max_npc_speed,feature_min_npc_speed,feature_std_npcs_speed,feature_type_npc_max_speed,feature_type_npc_min_speed,feature_op_npc_max_speed,feature_op_npc_min_speed,feature_ctrl_speed_npc_max_speed,feature_ctrl_speed_npc_min_speed,feature_dist_av_npc_max_speed,feature_dist_av_npc_min_speed,feature_time_to_max_speed,feature_time_to_max_dist,feature_source
scenario0,0,20.9546267407303,8.49242504320428,29.9337654536202,7.22784116461803,14.9958751682195,1.82764947102108,27.2550776430492,7.90579978030224,17.9752509544749,1.82764947102108,29.9337654536202,7.56682047246014,7.5,7,7.27067085174203,0,11.6858294547592,4.454346165734,9.07117636676637,0,29.7132811568774,5.9530843898279,9.0509301117163,0,27.2142852268286,7.90692375940372,12.6461901685832,2.76443406776892,34.7975597748134,6.40215739980059,27.5597053654923,3.75386426936481,57.7573243034421,15.0869770565274,20.1029477670377,57.7573243034421,2.76443406776892,10.744567228164,2,1,2,1,15.2899392455446,19.1501407802232,15.9653366220229,27.2142852268286,9.06105323924134,29.7132811568774,0,6.93000407461581,1,2,1,0,29.9337654536202,25.5007905117899,11.6195752481787,11.7504022474896,16.4,15,1
scenario1,0,17.5041048033608,0.431235820739302,26.9404699318916,7.61959425998588,10.4050746785067,0.449609771028038,24.2752527659156,8.66262610602234,13.9545897409338,0.431235820739302,26.9404699318916,8.14111018300411,7,7,7.34550818700058,0,11.6413236677504,4.20827441251052,7.63922205682208,0,22.5875568061147,5.46557725554636,7.71895877435992,0,24.2687974590859,8.06911887801838,23.6273632205881,9.49134886752418,62.3092647715559,14.988856088938,14.6249213829257,3.58661424577867,31.2893211868692,8.19872334095311,19.1261423017569,62.3092647715559,3.58661424577867,11.5937897149456,1,2,1,2,22.5888780672069,5.75639888334014,2.03941522028576,7.03366357386709,7.679090415591,24.2687974590859,0,6.76734806678237,2,2,2,0,4.20408455714005,1.3198343998999,18.6351017205184,11.7504022474896,6,21.1,1
scenario2,0,8.15608939323908,0.357057399704051,23.9506642126808,7.07305760638758,10.685010443161,0.731410881696046,26.8337185732356,7.85309347593244,9.42054991820004,0.357057399704051,26.8337185732356,7.46307554116001,6.5,4,7.32866447547154,0,11.6775621375451,4.42013578656653,5.9871631586919,0,23.9405324893054,5.71017881718095,5.39158857883219,0,18.659045041697,4.6804743828302,49.7019228355598,7.42883866983361,89.3158437749834,25.7707161647347,61.860401017535,11.7504022474896,102.005410854368,28.6202985902273,55.7811619265474,102.005410854368,7.42883866983361,27.195507377481,2,1,0,2,4.15715971679114,19.2127515546828,12.4506377153493,3.94842543460983,5.68937586876204,23.9405324893054,0,5.19532660000557,1,2,1,1,23.9506642126808,0.731410881696046,39.7582749107427,11.7504022474896,14.7,22.9,1
scenario3,0,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,17.1411861541736,1.14140380286495,27.968440548008,7.3320482009961,7,7,7.32160852308116,0,11.3144478832936,3.89614561719936,8.31460441994249,0,27.9670642018487,8.21537317051364,11.2782718227815,0,27.721828532524,7.90193690087882,21.9071583763246,2.99346771457987,51.6280686700883,13.9789802703192,45.6365534336568,3.2859290143784,82.5332519852425,20.7108557470838,33.7718559049907,82.5332519852425,2.99346771457987,17.3449180087015,2,1,1,2,24.8188885313108,19.3971459886407,18.3522117240277,26.6852585982113,9.79643812136199,27.9670642018487,0,8.05865503569623,1,2,2,1,2.75151850768773,18.8767139613898,18.8739887294667,11.7504022474896,12,15,1
scenario4,0,17.5041048033608,0.431235820739302,26.9404699318916,7.61959425998588,10.4050746785067,0.449609771028038,24.2752527659156,8.66262610602234,13.9545897409338,0.431235820739302,26.9404699318916,8.14111018300411,7,7,7.32803502366849,0,11.6712193553088,4.53964537939937,7.75092495995167,0,22.5838390403564,6.56877384337827,7.33203274026733,0,24.2687974590859,8.13183720457434,12.6760127886885,6.45273248608275,36.2030035967693,6.5505092641502,21.8031964760742,3.77601929817616,54.0633654358022,15.5086531320793,17.2396046323814,54.0633654358022,3.77601929817616,11.0295811981148,2,2,1,1,19.6218932618973,3.53906611323064,2.92786799991786,2.22991227613058,7.5414788501095,24.2687974590859,0,7.35030552397631,2,2,2,0,4.20408455714005,1.3198343998999,13.5949357591024,11.7504022474896,6,24.1,1
scenario5,0,8.15608939323908,0.357057399704051,23.9506642126808,7.07305760638758,10.685010443161,0.731410881696046,26.8337185732356,7.85309347593244,9.42054991820004,0.357057399704051,26.8337185732356,7.46307554116001,6.5,4,7.3267338297539,0,11.682445351155,4.40156436173137,5.94554241918683,0,23.9447423188745,5.62749083158598,5.34631052160637,0,19.6131138887029,4.5291064821392,49.6319668389537,7.66831292600685,89.2051882319605,26.1809406124528,57.9216805555098,7.74455248362432,103.195296609783,30.9260022502186,53.7768236972318,103.195296609783,7.66831292600685,28.5534714313357,2,1,0,2,4.15715971679114,19.2127515546828,8.88134225838567,4.04555571126753,5.6459264703966,23.9447423188745,0,5.07829865686259,1,2,1,0,23.9506642126808,0.731410881696046,38.283159104961,11.7504022474896,14.8,23.2,1
scenario6,0,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,17.1411861541736,1.14140380286495,27.968440548008,7.3320482009961,7,7,7.30928015200613,0,11.706113155166,4.27518037595123,8.31948705364265,0,27.966595540121,8.22062529605326,10.8121012324295,0,27.6875719291908,7.97539709153589,27.4444514533826,3.31222294788802,59.771743174222,17.7034985009177,43.4052985823927,3.81245897956383,81.0216661191433,17.1958770290789,35.4248750178877,81.0216661191433,3.31222294788802,17.4496877649983,2,1,1,2,24.8188885313108,19.3971459886407,10.3741696972337,15.4085996032566,9.56579414303605,27.966595540121,0,8.09801119379458,1,2,2,0,2.75151850768773,18.8767139613898,26.6275752426257,11.7504022474896,12,15,1
scenario7,0,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,17.1411861541736,1.14140380286495,27.968440548008,7.3320482009961,7,7,7.33741796604174,0,11.634655064986,4.30880036380732,8.30754880367429,0,27.9665499589987,8.25820707642349,10.8121012324295,0,27.6875719291908,7.97539709153589,27.5490786490179,3.35789660072067,60.1335963874122,18.0282176974187,44.3955442143132,3.81334165899996,81.9480432919826,17.1892543634775,35.9723114316655,81.9480432919826,3.35789660072067,17.6087360304481,2,1,1,2,24.8188885313108,19.3971459886407,9.79435247780099,15.4085996032566,9.55982501805188,27.9665499589987,0,8.11680208397969,1,2,2,0,2.75151850768773,18.8767139613898,27.4189895790809,11.7504022474896,12,15,1
scenario8,0,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,17.1411861541736,1.14140380286495,27.968440548008,7.3320482009961,7,7,7.32711784330508,0,11.6735245554037,4.37771529341923,8.29722423621973,0,27.9661514332134,8.36589395506379,10.8121012324295,0,27.6875719291908,7.97539709153589,26.1049407616979,3.29582841322002,57.0625530220547,17.0855782540876,48.1859976181916,3.84928025618632,86.9467296198654,17.9916705428687,37.1454691899447,86.9467296198654,3.29582841322002,17.5386243984781,2,1,1,2,24.8188885313108,19.3971459886407,13.272953948564,15.4085996032566,9.5546627343246,27.9661514332134,0,8.17064552329984,1,2,2,0,2.75151850768773,18.8767139613898,25.6148838560947,11.7504022474896,12,15,1
scenario9,1,13.9941321535491,1.14140380286495,27.968440548008,9.16587746159034,20.2882401547981,7.2831476201225,27.7710631122135,5.49821894040186,17.1411861541736,1.14140380286495,27.968440548008,7.3320482009961,7,7,7.29079634535215,0,11.6954331237038,4.36662964580337,8.05724480705672,0,27.9660078423412,8.48779955938525,10.856311529153,0,27.6875719291908,8.02031138751451,26.7054451638648,2.82833978693726,59.0403992825307,18.1106904777646,46.010334409031,3.79899146040088,84.130344091965,17.4746645724745,36.3578897864479,84.130344091965,2.82833978693726,17.7926775251195,2,1,1,1,24.8188885313108,18.550949211645,3.76274220189636,15.4085996032566,9.45677816810484,27.9660078423412,0,8.25405547344988,1,2,2,0,2.75151850768773,18.8767139613898,26.8553144477795,11.7504022474896,12,15,1
