instances,z_1,z_2,algo_collision,feature_npc1_avg_control_speed,feature_npc1_min_control_speed,feature_npc1_max_control_speed,feature_npc1_std_control_speed,feature_npc2_avg_control_speed,feature_npc2_min_control_speed,feature_npc2_max_control_speed,feature_npc2_std_control_speed,feature_npcs_avg_control_speed,feature_npcs_min_control_speed,feature_npcs_max_control_speed,feature_npcs_std_control_speed,feature_npc_number_lane_changes,feature_npc2_number_lane_changes,feature_ego_avg_speed,feature_ego_min_speed,feature_ego_max_speed,feature_ego_std_speed,feature_npc1_avg_speed,feature_npc1_min_speed,feature_npc1_max_speed,feature_npc1_std_speed,feature_npc2_avg_speed,feature_npc2_min_speed,feature_npc2_max_speed,feature_npc2_std_speed,feature_avg_dist_ego_npc1,feature_min_dist_ego_npc1,feature_max_dist_ego_npc1,feature_std_dist_ego_npc1,feature_avg_dist_ego_npc2,feature_min_dist_ego_npc2,feature_max_dist_ego_npc2,feature_std_dist_ego_npc2,feature_npc_avg_dist,feature_max_npc_dist,feature_min_npc_dist,feature_std_npc_dist,feature_type_npc_max_dist,feature_type_npc_min_dist,feature_op_npc_max_dist,feature_op_npc_min_dist,feature_ctrl_speed_npc_max_dist,feature_ctrl_speed_npc_min_dist,feature_speed_npc_min_dist,feature_speed_npc_max_dist,feature_avg_speed_npcs,feature_max_npc_speed,feature_min_npc_speed,feature_std_npcs_speed,feature_type_npc_max_speed,feature_type_npc_min_speed,feature_op_npc_max_speed,feature_op_npc_min_speed,feature_ctrl_speed_npc_max_speed,feature_ctrl_speed_npc_min_speed,feature_dist_av_npc_max_speed,feature_dist_av_npc_min_speed,feature_time_to_max_speed,feature_time_to_max_dist,feature_source
scenario2829,0.799151926,0.072116939,0,15.49101921,3.953870024,29.52740052,9.632693534,16.80629493,1.619592013,29.24481038,8.178008753,16.14865707,1.619592013,29.52740052,8.905351143,6.5,5,7.3315657,0,11.67756426,4.120809596,8.604800787,0,29.1364957,8.188333168,9.939081867,0,25.54988105,7.480525817,13.2202761,2.99029358,29.32652078,5.980758813,38.7231946,3.04524056,79.5599315,19.73765878,25.97173535,79.5599315,2.99029358,12.8592088,2,1,0,2,25.72862646,24.9111936,24.89708306,11.37986013,9.271941327,29.1364957,0,7.834429492,1,2,2,1,29.52740052,9.871182322,24.88755833,11.75040225,19.9,15.9,0
scenario2830,-0.052849383,1.175285068,0,11.83041121,3.510584013,27.08150308,7.318977595,15.45407497,2.580427763,23.98236929,6.364353126,13.64224309,2.580427763,27.08150308,6.84166536,5.5,7,7.328410502,0,11.73288142,4.169243776,7.678222894,0,27.08133498,7.554390407,9.926968173,0,23.93055158,6.810957405,23.64260404,8.760482771,66.02738154,16.50681318,18.26767469,3.178022937,40.51850522,9.127339836,20.95513936,66.02738154,3.178022937,12.81707651,1,2,0,1,27.08150308,11.63094902,11.61495374,12.19414683,8.802595534,27.08133498,0,7.182673906,1,2,0,1,27.08150308,11.63094902,32.74356783,11.75040225,17.6,15.2,0
scenario2831,0.118018631,-0.077574526,0,17.75665866,5.039083424,28.71090489,8.13371284,12.36441383,1.33116176,27.03913796,10.61150934,15.06053625,1.33116176,28.71090489,9.372611089,5.5,7,7.325338242,0,11.67532733,4.357738996,9.079293716,0,25.082045,6.940410662,7.338640651,0,27.03395059,7.391542127,14.42983953,2.705519313,35.75506178,7.524736692,21.60980927,3.768126323,48.57547113,10.18546069,18.0198244,48.57547113,2.705519313,8.85509869,2,1,2,2,27.03913796,25.08215924,25.08201334,9.682384163,8.208967183,27.03395059,0,7.165976395,2,2,1,0,2.307289946,2.816104906,16.56518561,11.75040225,21,18.8,0
scenario2832,-0.891118182,-0.270358137,0,13.22621978,5.112838659,25.60945253,7.293305617,14.31910238,5.428675352,29.11415599,8.036079529,13.77266108,5.112838659,29.11415599,7.664692573,6.5,5,7.307328098,0,11.60992312,4.116916843,7.825324443,0,22.62605966,5.693664287,9.1383729,0,27.74820671,7.56073225,40.42516173,5.460667781,87.34427599,26.3667435,15.27380695,3.199059723,51.36441591,12.02025029,27.84948434,87.34427599,3.199059723,19.19349689,1,2,1,1,15.22933281,17.78483814,17.66730101,7.559761578,8.481848672,27.74820671,0,6.627198269,2,2,1,2,27.74799248,7.925506169,34.41040815,11.75040225,16.8,22.2,0
scenario2833,-2.023115182,1.101178652,0,11.22981926,3.749830445,21.94829347,5.551342839,19.70611594,7.629019896,27.84576615,6.153315503,15.4679676,3.749830445,27.84576615,5.852329171,6,6,7.326251496,0,11.74498663,4.385848805,7.952624108,0,21.94297939,5.085675772,11.98532615,0,27.8434611,7.895958468,18.50999609,3.88111758,41.49587674,11.13609564,59.56563758,3.810113034,101.4060045,23.99187289,39.03781683,101.4060045,3.810113034,17.56398427,2,2,2,2,12.89568063,27.84576615,22.67775217,6.448287395,9.968975128,27.8434611,0,6.49081712,2,2,0,2,7.629019896,27.84576615,43.58135369,11.75040225,3,30,0
scenario2834,-1.161271197,1.194735345,0,12.38415037,2.931083358,28.39571554,7.930513036,15.91355157,1.004470996,27.92765327,10.73958812,14.14885097,1.004470996,28.39571554,9.335050579,6.5,6,7.320977549,0,11.70621936,4.381234968,7.000807884,0,23.13319197,4.476788044,8.615175389,0,27.9277499,8.902981407,33.34486788,4.737660063,63.10047273,20.6768083,11.62460546,3.675817654,26.70751556,5.973144835,22.48473667,63.10047273,3.675817654,13.32497657,1,2,0,0,5.563982731,27.92765327,27.91453685,5.521926232,7.807991637,27.9277499,0,6.689884725,2,2,0,1,27.92765327,3.31049669,13.92727329,11.75040225,8.8,22.6,0
scenario2835,1.829837875,-1.297944418,2,17.306658,5.759329443,29.70272841,8.923362609,14.09298057,0.192900357,26.55457873,10.49900657,15.69981928,0.192900357,29.70272841,9.711184587,4.5,4,7.349682365,0,11.60387485,3.456724739,7.762209516,0,29.23043896,5.632672175,7.324239479,0,25.21072312,7.425467556,16.28975579,6.668374872,34.06206888,7.403876036,19.73484913,1.961470666,52.00065696,13.13675853,18.01230246,52.00065696,1.961470666,10.27031728,2,2,0,1,21.92754463,0.192900357,0.015230152,7.000180067,7.543224498,29.23043896,0,6.529069865,1,2,0,1,29.70272841,25.21545678,11.23560918,11.75040225,25.5,24.2,0
scenario2836,0.495831174,1.318236667,0,11.88324218,0.613935553,27.37894431,10.18237003,11.2553517,1.640254556,25.03861663,7.958588492,11.56929694,0.613935553,27.37894431,9.070479261,8.5,9,7.322942597,0,11.63441524,4.366239784,7.217371394,0,26.96532184,7.05068404,6.152592522,0,24.94006186,6.126835076,33.35883159,5.284591874,68.45734372,20.54296073,46.93282173,3.719945738,89.29312306,29.47507174,40.14582666,89.29312306,3.719945738,25.00901623,2,2,1,1,14.53473904,3.990973364,3.740244112,2.773286591,6.684981958,26.96532184,0,6.588759558,1,2,0,2,27.37894431,12.42511517,54.25421468,11.75040225,16.4,24.1,0
scenario2837,-0.258839413,1.798931024,0,12.75290672,0.642258591,29.94077165,8.984708698,16.47324392,1.129431077,26.98798645,7.157097622,14.61307532,0.642258591,29.94077165,8.07090316,4.5,4,7.327586349,0,11.69670888,4.2946285,7.686214254,0,26.44812858,7.385641468,9.77696893,0,25.33306383,8.254078029,17.33301869,8.765705039,44.18149478,9.074053565,46.25979186,3.879496799,102.441365,31.42188029,31.79640528,102.441365,3.879496799,20.24796693,2,2,2,0,26.98798645,21.91047251,19.46919643,11.65090492,8.731591592,26.44812858,0,7.819859748,1,2,1,0,29.94077165,21.91047251,11.07361081,11.75040225,21.4,13.2,0
scenario2838,-1.076683615,-0.194642618,0,19.48580957,3.285560764,29.69678174,8.271710045,15.16448118,4.950278711,29.76506435,6.652273558,17.32514538,3.285560764,29.76506435,7.461991801,6.5,7,7.327131148,0,11.72411595,4.406468943,8.329198317,0,28.32897466,5.942303029,10.93249976,0,29.75734844,8.356212972,15.31005634,2.643457221,32.62975031,8.731939138,38.25440479,3.799583903,91.25269815,24.16555738,26.78223056,91.25269815,2.643457221,16.44874826,2,1,0,2,16.47752506,19.03754447,6.56294052,15.4030632,9.630849038,29.75734844,0,7.149258,2,2,1,0,23.21779494,13.78472114,70.91739561,11.75040225,12,15,0
