Row,z_1,z_2
bnd_pnt_1,-3.67976213311652,1.11883717192026
bnd_pnt_2,-3.02765133296887,2.69077002596423
bnd_pnt_3,-3.09507581832706,1.67780932512375
bnd_pnt_4,-2.56680271460923,1.6663408700746
bnd_pnt_5,-2.27193231508753,1.92947943626217
bnd_pnt_6,-2.60828955582287,2.73575671469938
bnd_pnt_7,-2.18500130112097,3.25311745916575
bnd_pnt_8,-1.62058239731434,3.19424772871092
bnd_pnt_9,-0.853418393081486,3.75464121084893
bnd_pnt_10,0.405381653172023,3.88936227868147
bnd_pnt_11,0.568433532917208,3.11717651686943
bnd_pnt_12,1.05355824805231,2.87803759644365
bnd_pnt_13,1.12945716035321,2.461288125243
bnd_pnt_14,2.87073860702391,1.66173406699331
bnd_pnt_15,3.6376670590823,0.48839460886698
bnd_pnt_16,3.5591374614949,0.164993466175026
bnd_pnt_17,3.9628843836446,-0.708506905079906
bnd_pnt_18,3.93695990787297,-1.66435367560339
bnd_pnt_19,4.17423466292906,-1.92886692315874
bnd_pnt_20,3.81585511976118,-2.31994034509639
bnd_pnt_21,4.26002877923339,-3.09732768195972
bnd_pnt_22,3.402168140452,-2.56701590680504
bnd_pnt_23,2.68262132658793,-2.40586612383665
bnd_pnt_24,1.74562315118455,-2.71006146756227
bnd_pnt_25,0.367714122470443,-3.51136682053286
bnd_pnt_26,0.291544692915767,-3.21990095963887
bnd_pnt_27,-0.0186755262174163,-2.86241527682639
bnd_pnt_28,-0.578681314419237,-2.68890337685078
bnd_pnt_29,-1.99584274222098,-1.76667501883524
bnd_pnt_30,-2.0828496751673,-1.29267161555182
bnd_pnt_31,-2.79965886363514,-0.506870140640464
bnd_pnt_32,-3.15966332650714,-0.415934874089232
bnd_pnt_33,-3.49757054170612,0.867827794216587
