Row,ego_max_speed,ego_std_speed,npc1_max_speed,npc2_std_speed,min_dist_ego_npc1,min_npc_dist,avg_speed_npcs,type_npc_max_speed,dist_av_npc_max_speed,source
Z_{1},-0.1568,-0.1857,0.4016,-0.3245,-0.2976,-0.1817,-0.2407,-0.3955,-0.4065,0.2286
Z_{2},0.3875,0.4788,0.0665,-0.0799,0.2425,0.465,-0.0731,-0.2062,-0.1905,-0.2338
