Row,z_1,z_2
bnd_pnt_1,2.44100267374779,8.24404441657136
bnd_pnt_2,0.598461789326004,9.74503693936409
bnd_pnt_3,-3.02019006159375,9.14596640944773
bnd_pnt_4,-5.16051672162319,8.61878168205225
bnd_pnt_5,-6.94081346913651,8.07811769237273
bnd_pnt_6,-9.09238533953514,7.06997097909553
bnd_pnt_7,-9.9043163621011,6.64676254965968
bnd_pnt_8,-8.74444553405332,3.65561239713426
bnd_pnt_9,-7.06293914806897,-0.64631137166459
bnd_pnt_10,-5.26840649111907,-5.08237828731548
bnd_pnt_11,-4.80342749599882,-5.55797877234756
bnd_pnt_12,-2.96088661157703,-7.05897129514029
bnd_pnt_13,0.657765239342722,-6.45990076522393
bnd_pnt_14,2.79809189937216,-5.93271603782846
bnd_pnt_15,4.57838864688548,-5.39205204814893
bnd_pnt_16,6.72996051728411,-4.38390533487174
bnd_pnt_17,7.54189153985007,-3.96069690543588
bnd_pnt_18,6.38202071180229,-0.969546752910464
bnd_pnt_19,4.70051432581794,3.33237701588839
bnd_pnt_20,2.90598166886805,7.76844393153928
bnd_pnt_21,2.44100267374779,8.24404441657136
