Row,ego_max_speed,ego_std_speed,npc1_max_speed,npc2_std_speed,min_dist_ego_npc1,min_npc_dist,avg_speed_npcs,type_npc_max_speed,dist_av_npc_max_speed,source
scenario1397,11.3066956205339,3.31679155076766,26.86315131839,7.02155919236947,2.88405539173524,2.88405539173524,8.16338785608506,2,39.8013776039218,1
scenario1398,11.4068886974765,3.22780349142536,26.6352446507,6.91722602218677,2.85273983278521,2.85273983278521,8.04038381437394,2,54.6016600230521,1
scenario1399,11.3982904021188,3.24740210635326,23.9882588256177,6.96995456877658,2.86357543589441,2.86357543589441,8.04445680678929,2,46.430777867419,1
scenario1400,11.5544909929536,4.21458412577665,26.8630676356031,7.01977732989663,3.19746378582679,2.3881446666702,8.18834380409132,2,24.1373043713903,1
scenario1401,11.4159594302328,3.32209150998988,28.3012850179117,7.02963872025163,3.10416266358233,3.10416266358233,8.18239536481859,2,38.672406969325,1
scenario1402,11.4468529438911,3.17578760306203,26.8174365110371,6.95397538999861,3.19820961625545,2.2472418150866,8.14437158938027,2,36.5309907338315,1
scenario1403,11.4625948687238,3.13677694515907,26.6726294358023,6.92479494863244,3.41831825271231,3.28403518857217,7.96394631586652,2,61.7915823069424,1
scenario1404,11.6639753696285,4.38929071349879,22.2415520095425,8.68170752672698,11.5315731377435,6.09213182289239,7.46900669817672,2,10.147076916778,1
scenario1405,11.6867028631415,4.47180101198027,26.067841032029,6.87238009313812,4.07843410485367,3.71647145616446,8.0329143359077,1,8.26184890524228,1
scenario1406,11.7022492855204,4.3325286604146,28.2096739402058,8.21012813509056,2.93322526395936,2.93322526395936,8.82424121712814,1,10.7353619908245,1
scenario1407,11.6959811489697,4.45651634763244,24.6029342537407,7.13765397532717,3.14517118553729,3.14517118553729,9.20817882729144,1,13.3258422837517,1
scenario1408,11.6624163082464,4.4721697940837,22.2238406082233,8.770570441971,10.1194597076946,7.40487362256638,7.47889407038031,2,15.7907218153964,1
scenario1409,11.727184944538,4.50434905572857,25.7674516704247,8.44586665921206,3.07593774180774,3.07593774180774,8.60611220343799,1,21.5823151258342,1
scenario1410,11.6882443490061,4.52747042536093,26.0904429532982,6.57826011905729,3.46579646615934,3.46579646615934,7.79087567571729,1,4.47053023613185,1
scenario1411,11.6630724503397,4.35547308568157,26.0779621441026,6.87238009313812,4.17288631112347,3.74539006056253,8.03196875314127,1,7.58000178167749,1
scenario1412,11.6864600782488,4.48115305039086,25.8234343610858,7.13765397532717,3.47906978079627,3.47906978079627,9.0980775674748,1,8.24960591360393,1
scenario1413,11.7292811585603,4.44093872096946,24.6001069085606,6.669923811337,4.64701948601241,3.68374979143387,8.00588540501175,1,16.6333022587592,1
scenario1414,11.7115666488928,4.4301494855058,21.2078708421705,7.13765397532717,3.17915474672743,3.17915474672743,9.2206526931902,2,58.8466472984647,1
scenario1415,11.6733635498982,4.3874590560981,25.6709201033881,6.669923811337,3.91567078654276,3.71945536950749,8.00559723881714,1,20.7011317736389,1
scenario1416,11.6471868044063,4.47938166664755,25.8428500230417,7.13765397532717,3.52274001869092,3.52274001869092,9.08229891095106,1,24.4930426976324,1
scenario1417,11.7246478332733,4.46922148586768,26.0815879680699,7.25337981656879,3.46497697359711,3.46497697359711,8.56133760605832,1,5.33919080431129,1
scenario1418,11.7013055398756,4.40609353065564,21.1300551282332,7.13765397532717,3.18065789369707,3.18065789369707,9.27321649226678,2,58.894360716005,1
scenario1419,11.6689750030148,4.41874932727211,21.5952246566289,7.13765397532717,3.15253818428929,3.15253818428929,9.20924126189815,2,59.2179567541877,1
scenario1420,11.6824864260012,4.45106069318007,21.4477018165783,9.17511441423756,9.44505700339118,3.70076867794253,7.99974547636934,2,64.9990891911071,1
scenario1421,11.6824034087937,4.48236932652266,28.758536710859,8.5523533774208,8.77888006335033,3.81695452391529,8.42322569987597,2,58.5974383309546,1
scenario1422,11.6969984751214,4.35673614973748,26.608340288119,7.95491546380755,6.41266240616486,3.80257689173243,9.60392987176983,2,72.8310132880068,1
scenario1423,11.6887159866822,4.43936966798479,20.5413247089105,7.02488473328869,8.61669085033123,3.68187461850678,7.96418862934017,2,3.72535419774543,1
scenario1424,11.6640887717842,4.43910493544841,21.3887141503376,9.17511441423756,9.56882825163171,3.72314347817472,7.99603967064941,2,69.4215792756814,1
