Row,ego_max_speed,ego_std_speed,npc1_max_speed,npc2_std_speed,min_dist_ego_npc1,min_npc_dist,avg_speed_npcs,type_npc_max_speed,dist_av_npc_max_speed,source
scenario892,0.375447129041717,-0.743897314623818,-0.378033940845351,-0.0552999874718723,-0.544145749254974,-0.874454475094476,0.0192514193179167,0.794395059672726,1.0407531407279,0.831019015916776
scenario893,-0.314111336139918,-1.28866226575632,-0.537848817701651,0.294798041590728,0.0420226344548589,-1.08944405455212,0.51370741897865,0.794395059672726,1.19220060906996,0.831019015916776
scenario894,-0.810266809422977,-1.35277602353235,-0.875684079607015,0.235047415598548,1.86251854693504,-1.1113464392977,0.258166890815937,0.794395059672726,1.3699203447009,0.831019015916776
scenario895,0.0335425094211814,0.429411455530453,-0.836912422504101,0.235047415598548,1.90489312223183,-1.25801647632835,0.627482648353064,0.794395059672726,0.703218316777303,0.831019015916776
scenario896,0.551412724405402,-0.486550985965289,-0.580003533639336,-0.0552999874718723,0.186380064472549,-1.16640690696388,0.211604862114404,0.794395059672726,0.946371317506794,0.831019015916776
scenario897,-0.521621889726178,-1.18170875225768,-0.42697936402459,-0.0335947996912996,-0.546015381588407,-1.0107975464286,0.353961203620016,0.794395059672726,1.1272480567331,0.831019015916776
scenario898,-0.137918277307688,-0.456405009208885,-0.472247065607955,-0.039173954037497,-0.247024304109201,-0.832764696545556,0.219725249736683,0.794395059672726,0.919412964883882,0.831019015916776
scenario899,0.143096278889081,-1.41633682794427,-0.506934839306674,-0.0171957417707073,-0.390610585631399,-1.01700471569802,0.551294682660976,0.794395059672726,1.23416331096086,0.831019015916776
scenario900,-0.330068152218803,-1.37921782437666,-0.537848817701651,0.00261530790938403,0.0953103556343724,-1.11043973764996,0.135823603086502,0.794395059672726,1.15615139292824,0.831019015916776
scenario901,0.197523389273754,-1.23093337020178,-0.558656203248954,-0.0552999874718723,-0.427614223520592,-1.21521999406741,0.450250725730844,0.794395059672726,1.17251087065785,0.831019015916776
